1762214400000000,106583.05000000,106808.51000000,105852.37000000,106471.45000000,1195.65517000,1762217999999999,127156893.08884270,332271,512.29601000,54474908.18731380,0
1762218000000000,106471.45000000,107298.74000000,106277.46000000,107040.01000000,1133.99025000,1762221599999999,121231340.05763020,321129,579.99366000,61998070.18729670,0
1762221600000000,107040.00000000,107243.23000000,106477.10000000,106482.60000000,701.66328000,1762225199999999,74966346.20199730,245023,373.90678000,39943911.38585880,0
1762225200000000,106482.61000000,107233.83000000,106223.14000000,107158.79000000,1057.66983000,1762228799999999,113069351.47338940,244889,699.12363000,74743961.43683530,0
1762228800000000,107158.79000000,107299.00000000,106703.82000000,106750.14000000,745.43101000,1762232399999999,79784834.76373850,209011,395.08829000,42300655.39166650,0
1762232400000000,106750.14000000,106750.15000000,104200.00000000,104215.76000000,3268.35780000,1762235999999999,343766048.27360020,486506,1126.45484000,118473839.84509940,0
1762236000000000,104215.76000000,105201.00000000,104200.00000000,104766.14000000,2382.47316000,1762239599999999,249454222.89657350,357622,1198.62447000,125504339.07677220,0
1762239600000000,104766.14000000,104997.64000000,104317.56000000,104490.72000000,1633.60477000,1762243199999999,170881497.11571010,277938,825.65011000,86357032.20805210,0
1762243200000000,104490.73000000,104631.39000000,103759.99000000,104051.90000000,1804.04853000,1762246799999999,187949961.51984550,323667,736.00928000,76696467.95009080,0
1762246800000000,104051.90000000,104138.65000000,103636.00000000,103857.96000000,1455.72161000,1762250399999999,151236916.91843210,277311,586.40434000,60933243.36188970,0
1762250400000000,103857.96000000,104106.55000000,103605.00000000,103816.39000000,1073.24239000,1762253999999999,111391528.76030620,287433,453.16126000,47036430.90085510,0
1762254000000000,103816.39000000,104699.07000000,103774.33000000,104584.76000000,988.08793000,1762257599999999,103067238.93782860,245790,580.55256000,60561072.68142480,0
1762257600000000,104584.75000000,104638.29000000,103844.39000000,103952.54000000,1216.95881000,1762261199999999,126729264.09250430,237611,612.73444000,63800851.97517530,0
1762261200000000,103952.54000000,104243.67000000,103576.00000000,103924.25000000,1018.30395000,1762264799999999,105783943.40432080,255475,387.55326000,40272823.11600910,0
1762264800000000,103924.26000000,104694.28000000,102915.05000000,104500.01000000,2915.82303000,1762268399999999,302284273.32694020,459051,1298.77426000,134722429.92614820,0
1762268400000000,104500.01000000,104842.63000000,103185.89000000,103197.01000000,2271.81312000,1762271999999999,236586744.20442310,474489,1070.68164000,111547638.46053870,0
1762272000000000,103197.02000000,103500.05000000,102164.00000000,102257.70000000,3313.32683000,1762275599999999,340634523.35689600,562206,1289.48733000,132596188.29272820,0
1762275600000000,102257.70000000,102257.70000000,100800.00000000,101114.83000000,4223.40802000,1762279199999999,428470955.46941760,663485,1817.30565000,184336938.07732300,0
1762279200000000,101114.82000000,101492.74000000,100010.73000000,101363.98000000,4101.41064000,1762282799999999,413018514.74466230,625911,1807.90749000,182126082.53774020,0
1762282800000000,101363.97000000,101711.84000000,100414.00000000,100542.64000000,1814.79036000,1762286399999999,183434047.28402390,466508,920.80932000,93100254.75362400,0
1762286400000000,100542.64000000,101119.40000000,99600.00000000,100755.43000000,4335.57159000,1762289999999999,434923219.27642940,599202,2011.16256000,201871975.23161480,0
1762290000000000,100755.42000000,100831.49000000,98944.36000000,100311.46000000,4105.76650000,1762293599999999,409707603.03082540,530430,1937.98055000,193498397.99620770,0
1762293600000000,100311.46000000,101893.09000000,100082.00000000,101295.71000000,2258.84809000,1762297199999999,228253667.64408610,383304,1224.26678000,123711717.59992360,0
1762297200000000,101295.70000000,101740.00000000,100907.36000000,101497.22000000,1518.90709000,1762300799999999,153914699.36998970,233347,943.06182000,95577482.59034180,0
